Full_Name,Year,Citation,spherical_cluster,topic_keywords,hdbscan_cluster,agglomerative_cluster,tsne_x,tsne_y,umap_x,umap_y,ACM Fellow Profile,DBLP profile,Google Scholar Profile,Affiliation
Manuel V Hermenegildo,2022,"For contributions to program analysis, verification, parallelism, logic programming, and the IMDEA Software Institute",4,"programming, contributions, languages, language, program, compilers",-1,2,26.61773,-10.752119,1.8341872,4.6666837,https://awards.acm.org/award-recipients/hermenegildo_2534550,https://dblp.org/pid/h/ManuelVHermenegildo,,
Marc Pollefeys,2022,"For contributions to geometric computer vision and applications to AR/VR/MR, robotics, and autonomous vehicles",0,"vision, contributions, computer, graphics, image, geometry",-1,4,-43.084145,-6.265602,8.952574,6.8222,https://awards.acm.org/award-recipients/pollefeys_C104881,https://dblp.org/pid/p/MarcPollefeys,https://scholar.google.com/citations?user=YYH0BjEAAAAJ,"Professor of Computer Science, ETH Zurich, and Director Mixed Reality and AI Lab Zurich …"
Michel Beaudouin-Lafon,2022,"For contributions to human-computer interaction, instrumental interaction and generative theory, and community leadership",10,"human, interaction, contributions, computer, computing, design",-1,5,-36.566734,15.157828,6.0747123,8.179801,https://awards.acm.org/award-recipients/beaudouin-lafon_4460754,https://dblp.org/pid/00/2489,https://scholar.google.com/citations?user=OucrYFkAAAAJ,Université Paris-Saclay
Nitesh Chawla,2022,"For contributions to machine learning research for imbalanced data, graphs, and interdisciplinary innovations",12,"contributions, learning, mining, natural, machine, data",-1,10,-27.73024,-16.523102,6.6053677,5.785002,https://awards.acm.org/award-recipients/chawla_0295022,https://dblp.org/pid/c/NiteshVChawla,https://scholar.google.com/citations?user=hDLBEhkAAAAJ,"Frank Freimann Professor of Computer Science & Engg., Notre Dame"
Peter Boncz,2022,"For contributions to the design of columnar, main-memory, and vectorized database systems",6,"database, contributions, data, systems, management, databases",-1,0,4.720265,-26.825068,4.463711,4.4741125,https://awards.acm.org/award-recipients/boncz_UJ15638,https://dblp.org/pid/b/PeterABoncz,https://scholar.google.com/citations?user=DCIZE1kAAAAJ,"Professor, VU University Amsterdam & CWI"
Moinuddin Qureshi,2022,For contributions to memory hierarchy design,8,"contributions, design, memory, computer, architecture, systems",-1,15,35.72209,4.9115586,3.2695608,3.2765958,https://awards.acm.org/award-recipients/qureshi_6889096,https://dblp.org/pid/60/6934,https://scholar.google.com/citations?user=EWU0STsAAAAJ,"Professor, Georgia Institute of Technology"
David Atienza Alonso,2022,For contributions to the design of high-performance integrated systems and ultra-low power edge circuits and architectures,8,"contributions, design, memory, computer, architecture, systems",-1,9,17.84687,37.738968,3.6327455,2.3058934,https://awards.acm.org/award-recipients/atienzaalonso_1847292,https://dblp.org/pid/a/DavidAtienza,,
Joerg Henkel,2022,For contributions to hardware/software co-design of power and thermal efficient embedded computing,8,"contributions, design, memory, computer, architecture, systems",-1,9,14.082883,35.77756,3.7088263,2.396361,https://awards.acm.org/award-recipients/henkel_6636986,https://dblp.org/pid/h/JorgHenkel,https://scholar.google.com/citations?user=AmnIAhEAAAAJ,"Professor of Computer Science, Karlsruhe Institute of Technology"
Samir Khuller,2022,For contributions to algorithm design with real-world implications and for mentoring and community-building,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,6,-23.639095,-8.773542,6.916448,5.4464965,https://awards.acm.org/award-recipients/khuller_3390846,https://dblp.org/pid/k/SamirKhuller,https://scholar.google.com/citations?user=6vXTtDQAAAAJ,"Barris Professor and Chair of Computer Science, Northwestern University"
Stefano Soatto,2022,For contributions to the foundations and applications of visual geometry and visual representations learning,0,"vision, contributions, computer, graphics, image, geometry",-1,17,-44.57618,-5.0146694,9.092842,6.8915567,https://awards.acm.org/award-recipients/soatto_7972221,https://dblp.org/pid/08/1262,https://scholar.google.com/citations?user=lH1PdF8AAAAJ,"Professor of Computer Science, UCLA; VP, AWS"
Radu Marculescu,2022,For contributions to low-power and communication-based design of embedded systems,13,"wireless, contributions, mobile, systems, networks, computing",-1,9,18.769445,35.276127,4.473645,1.5384207,https://awards.acm.org/award-recipients/marculescu_4937777,https://dblp.org/pid/88/3494,https://scholar.google.com/citations?user=ZCmYP5cAAAAJ,The University of Texas at Austin
Rafael Pass,2022,For contributions to the foundations of cryptography,2,"contributions, privacy, cryptography, security, systems, computer",-1,14,-0.5652737,-9.912537,6.9835486,3.389519,https://awards.acm.org/award-recipients/pass_0705801,https://dblp.org/pid/311/0270,https://scholar.google.com/citations?user=_7IzKZQAAAAJ,"Tel-Aviv University, Cornell Tech"
Ranveer Chandra,2022,For contributions to software-defined wireless networking and applications to agriculture and rural broadband,13,"wireless, contributions, mobile, systems, networks, computing",-1,11,26.8726,30.208942,5.0817833,1.3232132,https://awards.acm.org/award-recipients/chandra_0015439,https://dblp.org/pid/99/2097,https://scholar.google.com/citations?user=Zq4ioqu5yb8C,"Managing Director, Research for Industry, GM Networking Research, Microsoft Research"
Rene Vidal,2022,For contributions to subspace clustering and motion segmentation in computer vision,0,"vision, contributions, computer, graphics, image, geometry",-1,17,-48.860355,-3.5022893,9.048965,7.0854564,https://awards.acm.org/award-recipients/vidal_6695711,https://dblp.org/pid/v/ReneVidal,https://scholar.google.com/citations?user=uT8fgagAAAAJ,"Rachleff University Professor, University of Pennsylvania; Amazon Scholar; NORCE Chief …"
Sandy Irani,2022,For contributions to the theory of online algorithms and quantum complexity theory,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,14,-12.350069,-12.439719,6.802589,4.089115,https://awards.acm.org/award-recipients/irani_4469078,https://dblp.org/pid/i/SandyIrani,https://scholar.google.com/citations?user=dBhm_oIAAAAJ,"Professor of Computer Science, University of California, Irvine"
Sebastian Elbaum,2022,For contributions to the analysis and testing of evolving systems and robotic systems,5,"contributions, reasoning, artificial, intelligence, systems, verification",-1,4,-34.477173,4.314874,7.988605,6.2824445,https://awards.acm.org/award-recipients/elbaum_UK19687,https://dblp.org/pid/e/SebastianGElbaum,https://scholar.google.com/citations?user=swPW5FYAAAAJ,"Professor of Computer Science, University of Virginia"
Sumi Helal,2022,"For contributions to mobile and pervasive computing, and their applications in graceful aging and accessibility",13,"wireless, contributions, mobile, systems, networks, computing",-1,19,24.004911,32.845505,4.930255,1.5063492,https://awards.acm.org/award-recipients/helal_3653854,https://dblp.org/pid/h/AHelal,https://scholar.google.com/citations?user=mTJLF-sAAAAJ,"Professor, University of Florida"
Tim Sherwood,2022,For contributions to computer system security and performance analysis,2,"contributions, privacy, cryptography, security, systems, computer",-1,1,19.008875,-5.058266,6.331282,2.4503496,https://awards.acm.org/award-recipients/sherwood_4975710,https://dblp.org/pid/23/3778,https://scholar.google.com/citations?user=nLuHfy4AAAAJ,"Professor of Computer Science, UC Santa Barbara"
Torsten Hoefler,2022,For foundational contributions to High Performance Computing and the application of HPC techniques to machine learning,12,"contributions, learning, mining, natural, machine, data",-1,14,-25.819365,-19.222168,5.971691,5.092212,https://awards.acm.org/award-recipients/hoefler_4381890,https://dblp.org/pid/16/3869,https://scholar.google.com/citations?user=DdBvcBEAAAAJ,Professor of Computer Science at ETH Zurich
Wenwu Zhu,2022,For contributions to multimedia networking and network representation,9,"contributions, internet, protocols, network, networks, networking",-1,15,29.124058,26.450369,5.483336,2.0030897,https://awards.acm.org/award-recipients/zhu_0220763,https://dblp.org/pid/346/0901,https://scholar.google.com/citations?user=7t2jzpgAAAAJ,"AAAS/ACM/IEEE/SPIE Fellow, Tsinghua Univerisity"
Jimmy Lin,2022,"For contributions to question answering, information retrieval, and natural language processing",12,"contributions, learning, mining, natural, machine, data",-1,0,-30.035564,-32.904255,6.971983,7.457382,https://awards.acm.org/award-recipients/lin_6998795,https://dblp.org/pid/00/7739,https://scholar.google.com/citations?user=3CXNeXkAAAAJ,University of Maryland
Yizhou Yu,2022,For contributions to computer graphics and computer vision,0,"vision, contributions, computer, graphics, image, geometry",1,17,-46.601536,-2.7662232,9.030116,6.7069645,https://awards.acm.org/award-recipients/yu_4734414,https://dblp.org/pid/90/6896,https://scholar.google.com/citations?user=e38fTZQAAAAJ,"The University of Hong Kong,   ACM Fellow & IEEE Fellow"
Yuguang Fang,2022,For contributions to wireless networks and mobile computing,13,"wireless, contributions, mobile, systems, networks, computing",-1,11,26.839525,32.749596,5.0163183,1.3751183,https://awards.acm.org/award-recipients/fang_5177712,https://dblp.org/pid/f/YuguangFang,https://scholar.google.com/citations?user=dJgRKmwAAAAJ,"Chair Professor of Internet of Things, Department of Computer Science, City University of …"
Zhendong Su,2022,For contributions to software testing and analysis,3,"software, contributions, engineering, testing, community, analysis",-1,7,20.401428,-11.831199,1.6188458,5.8165765,https://awards.acm.org/award-recipients/su_4914685,https://dblp.org/pid/197/8311,https://scholar.google.com/citations?user=RivxoIcAAAAJ,"Professor of Computer Science, ETH Zurich"
Anind Dey,2021,For contributions to ubiquitous computing and large-scale behavioral studies,13,"wireless, contributions, mobile, systems, networks, computing",-1,19,22.407656,32.478752,4.828098,1.4671059,https://awards.acm.org/award-recipients/dey_0555709,https://dblp.org/pid/04/4652,https://scholar.google.com/citations?user=ydA8Q5AAAAAJ,University of Washington
Anupam Gupta,2021,"For contributions to approximation algorithms, online algorithms, stochastic algorithms and metric embeddings",12,"contributions, learning, mining, natural, machine, data",-1,14,-21.1443,-15.644775,6.9659104,4.8082447,https://awards.acm.org/award-recipients/gupta_9367426,https://dblp.org/pid/237/9038,https://scholar.google.com/citations?user=g87CIwgAAAAJ,Professor of Computer Science at Carnegie Mellon University
Aravinda P Sistla,2021,"For contributions to verifying concurrent programs, probabilistic systems, security and database systems",2,"contributions, privacy, cryptography, security, systems, computer",-1,13,23.133783,-6.6503925,1.5458467,4.6075706,https://awards.acm.org/award-recipients/sistla_2470656,,https://scholar.google.com/citations?user=P-wJ6Y4AAAAJ,"Professor of Computer Science, University of Illinois at Chicago"
Batya Friedman,2021,For contributions to human values in the technical design process,3,"software, contributions, engineering, testing, community, analysis",-1,6,11.149403,-13.047603,2.3694675,6.486858,https://awards.acm.org/award-recipients/friedman_3437027,https://dblp.org/pid/20/2143,https://scholar.google.com/citations?user=dkjR4cAAAAAJ,"Professor of Information, University of Washington"
Bernhard Nebel,2021,"For contributions to knowledge representation and reasoning, automatic planning, and their applications in robotics",5,"contributions, reasoning, artificial, intelligence, systems, verification",-1,10,-20.634201,-0.013098327,5.827815,5.941399,https://awards.acm.org/award-recipients/nebel_7811934,https://dblp.org/pid/n/BernhardNebel,https://scholar.google.com/citations?user=4MhUHPcAAAAJ,"Professor für Informatik, Universität Freiburg"
Bernt Schiele,2021,"For contributions to large-scale object recognition, human detection, and pose estimation",0,"vision, contributions, computer, graphics, image, geometry",-1,17,-47.503777,-9.569175,9.019666,7.1498404,https://awards.acm.org/award-recipients/schiele_5009214,https://dblp.org/pid/s/BerntSchiele,https://scholar.google.com/citations?user=z76PBfYAAAAJ,"Professor, Max Planck Institute for Informatics, Saarland Informatics Campus, Saarland …"
Bjorner Nikolaj,2021,For contributions to SMT solvers and network verification,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,13,28.408562,-7.741564,1.4347014,4.6370277,https://awards.acm.org/award-recipients/nikolaj_6098119,https://dblp.org/pid/344/8366,https://scholar.google.com/citations?user=kja6dIzH9GwJ,Microsoft Research
Deepak Ganesan,2021,For contributions to ultra-low power wireless sensing systems,13,"wireless, contributions, mobile, systems, networks, computing",-1,9,19.356276,37.38618,4.346243,1.6484866,https://awards.acm.org/award-recipients/ganesan_6469654,https://dblp.org/pid/g/DeepakGanesan,https://scholar.google.com/citations?user=cbTB5-EAAAAJ,"Professor of Computer Science, UMass Amherst"
Feifei Li,2021,For contributions to query processing and optimization and to cloud database systems,6,"database, contributions, data, systems, management, databases",-1,0,-7.644519,-33.215443,4.920981,4.930949,https://awards.acm.org/award-recipients/li_2526881,https://dblp.org/pid/79/2528,https://scholar.google.com/citations?user=rDfyQnIAAAAJ,"Professor of Computer Science, Stanford University"
Ryen W White,2021,"For contributions to information retrieval, human-computer interaction, and computational health",10,"human, interaction, contributions, computer, computing, design",-1,5,-31.391232,11.848484,6.199652,7.8844805,https://awards.acm.org/award-recipients/white_6607089,https://dblp.org/pid/w/RyenWWhite,https://scholar.google.com/citations?user=U69fiZMAAAAJ,"General Manager, Deputy Lab Director, Microsoft Research"
Mark Tehranipoor,2021,For contributions to microelectronics security and trust,2,"contributions, privacy, cryptography, security, systems, computer",-1,1,19.393505,-3.0323205,4.71907,2.5496886,https://awards.acm.org/award-recipients/tehranipoor_3149580,https://dblp.org/pid/t/MohammadTehranipoor,https://scholar.google.com/citations?user=n9JsBeAAAAAJ,"Intel Charles E. Young Endowed Chair Professor, ECE, University of Florida"
Alla Sheffer,2021,"For contributions to geometry processing, mesh parameterization, and perception-driven shape analysis and modeling",0,"vision, contributions, computer, graphics, image, geometry",-1,17,-41.67632,-1.1776552,8.752141,6.165078,https://awards.acm.org/award-recipients/sheffer_C106914,https://dblp.org/pid/65/3735,https://scholar.google.com/citations?user=IgkGxLsAAAAJ,"Professor, Computer Science, University of British Columbia, Canada"
Brent Waters,2021,For contributions to cryptography,2,"contributions, privacy, cryptography, security, systems, computer",-1,12,0.8095792,-7.2646956,7.048431,3.248464,https://awards.acm.org/award-recipients/waters_3058089,https://dblp.org/pid/w/BrentWaters,https://scholar.google.com/citations?user=VEKxHOAAAAAJ,University of Texas at Austin
Dale A Miller,2021,For contributions to proof theory and computational logic,5,"contributions, reasoning, artificial, intelligence, systems, verification",-1,3,-6.4989085,-19.363873,2.31034,4.7698865,https://awards.acm.org/award-recipients/miller_2617538,https://dblp.org/pid/m/DaleMiller,,
Tanzeem Choudhury,2021,For contributions to mobile systems for behavioral sensing and health interventions,13,"wireless, contributions, mobile, systems, networks, computing",-1,5,22.501406,33.892895,4.674666,1.5934975,https://awards.acm.org/award-recipients/choudhury_3175955,https://dblp.org/pid/86/45,https://scholar.google.com/citations?user=-pyztDMAAAAJ,"Professor, Computing and Information Science, Cornell Tech"
Tie-Yan Liu,2021,For contributions to machine learning algorithms and their applications,12,"contributions, learning, mining, natural, machine, data",-1,10,-30.445759,-20.350407,6.7062416,6.4408298,https://awards.acm.org/award-recipients/liu_2478350,https://dblp.org/pid/l/TieYanLiu,,
Edward Y Chang,2021,For contributions to scalable machine learning and healthcare,12,"contributions, learning, mining, natural, machine, data",-1,5,-27.493235,-18.452797,6.5170183,5.59284,https://awards.acm.org/award-recipients/chang_4684536,https://dblp.org/pid/c/EdwardYChang,https://scholar.google.com/citations?user=pZmOvyYAAAAJ,Stanford University
Elad Hazan,2021,For contributions to efficient algorithms for convex and nonconvex optimization,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,14,-19.545912,-15.937175,7.040818,4.9952316,https://awards.acm.org/award-recipients/hazan_7142407,https://dblp.org/pid/72/739,https://scholar.google.com/citations?user=LnhCGNMAAAAJ,Professor at Princeton University and Director Google AI Princeton
Elchanan Mossel,2021,For contributions to theoretical computer science and inference,5,"contributions, reasoning, artificial, intelligence, systems, verification",-1,10,-8.91851,-11.658413,6.0131974,5.2241507,https://awards.acm.org/award-recipients/mossel_0709865,https://dblp.org/pid/m/EMossel,https://scholar.google.com/citations?user=5t2myD8AAAAJ,"Professor of Mathematics, MIT"
Evgeniy Gabrilovich,2021,"For contributions to the acquisition, representation, and dissemination of web-knowledge with applications to the medical domain",12,"contributions, learning, mining, natural, machine, data",-1,2,-9.628308,2.7135894,5.181964,5.917561,https://awards.acm.org/award-recipients/gabrilovich_5181813,https://dblp.org/pid/84/1449,https://scholar.google.com/citations?user=DKCx8hcAAAAJ,"Research Director, Facebook Reality Labs"
Gautam Das,2021,For contributions to database search and graph algorithms,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,1,-35.048904,-13.220811,6.2682943,4.877791,https://awards.acm.org/award-recipients/das_4900977,https://dblp.org/pid/44/4238,https://scholar.google.com/citations?user=oleB9xIAAAAJ,"Distinguished University Chair Professor, CSE Dept, University of Texas at Arlington"
